,Last Name,First Name,Email,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Exam 1 Score,Exam 2 Score,Exam 3 Score,Homework score,Quizes score,Total Score
11,Saunders,Richard,richard.saunders@univ.edu,10,8,15,12,12,53.0,80.0,56.0,80.0,48.0,80.0,87.0,100.0,46.0,70.0,55.0,90.0,32.0,50.0,57.0,70.0,56.0,60.0,36.0,60.0,65.0,100.0,93.0,100.0,64.0,100.0,0.65,0.93,0.64,0.7108108108108108,0.8260869565217391,76.0
12,Ortega,Tiffany,tiffany.ortega@univ.edu,7,8,15,14,12,64.0,80.0,56.0,80.0,56.0,80.0,63.0,100.0,58.0,70.0,79.0,90.0,30.0,50.0,65.0,70.0,51.0,60.0,51.0,60.0,70.0,100.0,82.0,100.0,62.0,100.0,0.7,0.82,0.62,0.7743243243243243,0.8115942028985508,77.0
13,Schwartz,Billy,billy.schwartz@univ.edu,11,12,11,10,9,56.0,80.0,52.0,80.0,56.0,80.0,89.0,100.0,46.0,70.0,66.0,90.0,33.0,50.0,51.0,70.0,48.0,60.0,52.0,60.0,89.0,100.0,62.0,100.0,93.0,100.0,0.89,0.62,0.93,0.7418918918918919,0.7681159420289855,78.0
14,Vasquez,Sara,sara.vasquez@univ.edu,5,7,8,6,5,63.0,80.0,65.0,80.0,67.0,80.0,98.0,100.0,70.0,70.0,65.0,90.0,32.0,50.0,55.0,70.0,40.0,60.0,38.0,60.0,64.0,100.0,73.0,100.0,75.0,100.0,0.64,0.73,0.75,0.8013513513513514,0.4492753623188406,67.0
15,Martin,Ashley,ashley.martin@univ.edu,5,7,8,13,11,50.0,80.0,66.0,80.0,80.0,80.0,68.0,100.0,46.0,70.0,86.0,90.0,33.0,50.0,63.0,70.0,51.0,60.0,48.0,60.0,67.0,100.0,72.0,100.0,68.0,100.0,0.67,0.72,0.68,0.7986486486486486,0.6376811594202898,72.0
16,Rush,Oscar,oscar.rush@univ.edu,5,14,7,5,5,50.0,80.0,56.0,80.0,65.0,80.0,80.0,100.0,42.0,70.0,68.0,90.0,34.0,50.0,67.0,70.0,57.0,60.0,40.0,60.0,74.0,100.0,80.0,100.0,66.0,100.0,0.74,0.8,0.66,0.7554054054054054,0.5217391304347826,68.0
17,Walsh,Jill,jill.walsh@univ.edu,6,13,6,9,4,65.0,80.0,48.0,80.0,49.0,80.0,73.0,100.0,47.0,70.0,74.0,90.0,38.0,50.0,68.0,70.0,50.0,60.0,38.0,60.0,73.0,100.0,99.0,100.0,78.0,100.0,0.73,0.99,0.78,0.7432432432432432,0.5507246376811594,72.0
18,Hernandez,Taylor,taylor.hernandez@univ.edu,11,12,14,5,9,54.0,80.0,52.0,80.0,53.0,80.0,67.0,100.0,56.0,70.0,77.0,90.0,33.0,50.0,57.0,70.0,52.0,60.0,46.0,60.0,92.0,100.0,83.0,100.0,98.0,100.0,0.92,0.83,0.98,0.7391891891891892,0.7391304347826086,80.0
19,Cooper,Adam,adam.cooper@univ.edu,4,10,16,7,12,80.0,80.0,78.0,80.0,78.0,80.0,87.0,100.0,65.0,70.0,55.0,90.0,44.0,50.0,44.0,70.0,45.0,60.0,53.0,60.0,65.0,100.0,63.0,100.0,90.0,100.0,0.65,0.63,0.9,0.85,0.7101449275362319,78.0
20,Raymond,Troy,troy.raymond@univ.edu,7,7,14,7,5,50.0,80.0,59.0,80.0,79.0,80.0,98.0,100.0,65.0,70.0,68.0,90.0,44.0,50.0,66.0,70.0,45.0,60.0,49.0,60.0,91.0,100.0,67.0,100.0,100.0,100.0,0.91,0.67,1.0,0.8418918918918918,0.5797101449275363,77.0
21,Washington,Travis,travis.washington@univ.edu,11,13,10,9,8,64.0,80.0,67.0,80.0,56.0,80.0,92.0,100.0,50.0,70.0,85.0,90.0,46.0,50.0,69.0,70.0,40.0,60.0,52.0,60.0,94.0,100.0,74.0,100.0,68.0,100.0,0.94,0.74,0.68,0.8391891891891892,0.7391304347826086,80.0
22,King,Paige,paige.king@univ.edu,8,13,17,14,9,61.0,80.0,61.0,80.0,61.0,80.0,75.0,100.0,63.0,70.0,86.0,90.0,43.0,50.0,64.0,70.0,50.0,60.0,46.0,60.0,97.0,100.0,99.0,100.0,63.0,100.0,0.97,0.99,0.63,0.8243243243243243,0.8840579710144928,86.0
23,Miller,Anthony,anthony.miller@univ.edu,9,8,13,7,12,77.0,80.0,53.0,80.0,65.0,80.0,74.0,100.0,66.0,70.0,78.0,90.0,30.0,50.0,55.0,70.0,53.0,60.0,41.0,60.0,73.0,100.0,68.0,100.0,93.0,100.0,0.73,0.68,0.93,0.8,0.7101449275362319,77.0
24,Underwood,James,james.underwood@univ.edu,5,13,8,9,9,65.0,80.0,74.0,80.0,73.0,80.0,81.0,100.0,66.0,70.0,79.0,90.0,40.0,50.0,45.0,70.0,51.0,60.0,39.0,60.0,77.0,100.0,76.0,100.0,84.0,100.0,0.77,0.76,0.84,0.8283783783783784,0.6376811594202898,76.0
25,Cervantes,Scott,scott.cervantes@univ.edu,4,8,9,12,9,51.0,80.0,70.0,80.0,65.0,80.0,78.0,100.0,65.0,70.0,68.0,90.0,45.0,50.0,66.0,70.0,55.0,60.0,56.0,60.0,60.0,100.0,100.0,100.0,89.0,100.0,0.6,1.0,0.89,0.8364864864864865,0.6086956521739131,77.0
26,Terry,Thomas,thomas.terry@univ.edu,8,14,13,8,9,72.0,80.0,60.0,80.0,51.0,80.0,96.0,100.0,51.0,70.0,87.0,90.0,31.0,50.0,43.0,70.0,41.0,60.0,50.0,60.0,83.0,100.0,74.0,100.0,99.0,100.0,0.83,0.74,0.99,0.7864864864864864,0.7536231884057971,80.0
27,Glover,Heidi,heidi.glover@univ.edu,4,14,10,7,9,65.0,80.0,52.0,80.0,60.0,80.0,65.0,100.0,45.0,70.0,81.0,90.0,47.0,50.0,43.0,70.0,51.0,60.0,48.0,60.0,60.0,100.0,83.0,100.0,83.0,100.0,0.6,0.83,0.83,0.7527027027027027,0.6376811594202898,72.0
28,Payne,Douglas,douglas.payne@univ.edu,8,7,7,12,5,48.0,80.0,55.0,80.0,49.0,80.0,62.0,100.0,46.0,70.0,90.0,90.0,35.0,50.0,62.0,70.0,51.0,60.0,51.0,60.0,74.0,100.0,71.0,100.0,96.0,100.0,0.74,0.71,0.96,0.7418918918918919,0.5652173913043478,71.0
29,Lee,Danielle,danielle.lee@univ.edu,7,14,10,5,7,69.0,80.0,51.0,80.0,70.0,80.0,96.0,100.0,51.0,70.0,77.0,90.0,37.0,50.0,52.0,70.0,49.0,60.0,57.0,60.0,62.0,100.0,70.0,100.0,90.0,100.0,0.62,0.7,0.9,0.822972972972973,0.6231884057971014,74.0
30,Gordon,Lori,lori.gordon@univ.edu,9,15,12,7,7,52.0,80.0,74.0,80.0,75.0,80.0,79.0,100.0,67.0,70.0,72.0,90.0,50.0,50.0,51.0,70.0,40.0,60.0,38.0,60.0,88.0,100.0,96.0,100.0,76.0,100.0,0.88,0.96,0.76,0.8081081081081081,0.7246376811594203,81.0
31,Dunn,Amy,amy.dunn@univ.edu,10,12,6,13,6,72.0,80.0,61.0,80.0,50.0,80.0,90.0,100.0,47.0,70.0,72.0,90.0,43.0,50.0,49.0,70.0,48.0,60.0,50.0,60.0,93.0,100.0,96.0,100.0,86.0,100.0,0.93,0.96,0.86,0.7864864864864864,0.6811594202898551,80.0
32,Sparks,Leslie,leslie.sparks@univ.edu,7,9,16,8,8,66.0,80.0,77.0,80.0,54.0,80.0,66.0,100.0,48.0,70.0,56.0,90.0,38.0,50.0,63.0,70.0,43.0,60.0,50.0,60.0,61.0,100.0,95.0,100.0,90.0,100.0,0.61,0.95,0.9,0.7581081081081081,0.6956521739130435,76.0
33,Patterson,Nicole,nicole.patterson@univ.edu,6,14,10,13,10,66.0,80.0,66.0,80.0,55.0,80.0,89.0,100.0,49.0,70.0,83.0,90.0,48.0,50.0,59.0,70.0,37.0,60.0,53.0,60.0,96.0,100.0,91.0,100.0,95.0,100.0,0.96,0.91,0.95,0.8175675675675675,0.7681159420289855,84.0
34,Lester,Aaron,aaron.lester@univ.edu,6,9,10,8,8,68.0,80.0,74.0,80.0,77.0,80.0,89.0,100.0,51.0,70.0,87.0,90.0,33.0,50.0,48.0,70.0,42.0,60.0,41.0,60.0,79.0,100.0,63.0,100.0,68.0,100.0,0.79,0.63,0.68,0.8243243243243243,0.5942028985507246,72.0
35,Daniels,Amber,amber.daniels@univ.edu,7,15,16,5,6,54.0,80.0,57.0,80.0,77.0,80.0,95.0,100.0,47.0,70.0,87.0,90.0,44.0,50.0,58.0,70.0,46.0,60.0,59.0,60.0,68.0,100.0,95.0,100.0,88.0,100.0,0.68,0.95,0.88,0.8432432432432433,0.7101449275362319,81.0
36,Friedman,Linda,linda.friedman@univ.edu,10,9,8,5,8,49.0,80.0,70.0,80.0,62.0,80.0,83.0,100.0,58.0,70.0,79.0,90.0,42.0,50.0,60.0,70.0,54.0,60.0,42.0,60.0,64.0,100.0,86.0,100.0,70.0,100.0,0.64,0.86,0.7,0.8094594594594594,0.5797101449275363,72.0
37,Brown,Kelsey,kelsey.brown@univ.edu,10,15,9,14,4,78.0,80.0,68.0,80.0,52.0,80.0,80.0,100.0,51.0,70.0,70.0,90.0,49.0,50.0,46.0,70.0,59.0,60.0,56.0,60.0,80.0,100.0,69.0,100.0,83.0,100.0,0.8,0.69,0.83,0.822972972972973,0.7536231884057971,79.0
38,Beck,David,david.beck@univ.edu,4,7,7,12,7,62.0,80.0,79.0,80.0,48.0,80.0,61.0,100.0,43.0,70.0,59.0,90.0,42.0,50.0,51.0,70.0,55.0,60.0,39.0,60.0,91.0,100.0,74.0,100.0,65.0,100.0,0.91,0.74,0.65,0.7283783783783784,0.5362318840579711,69.0
39,Jones,Sarah,sarah.jones@univ.edu,9,15,15,14,12,62.0,80.0,49.0,80.0,55.0,80.0,80.0,100.0,49.0,70.0,71.0,90.0,37.0,50.0,60.0,70.0,36.0,60.0,37.0,60.0,89.0,100.0,68.0,100.0,94.0,100.0,0.89,0.68,0.94,0.7243243243243244,0.9420289855072463,83.0
40,Rodriguez,Alexander,alexander.rodriguez@univ.edu,11,13,16,11,7,50.0,80.0,54.0,80.0,74.0,80.0,75.0,100.0,54.0,70.0,59.0,90.0,38.0,50.0,43.0,70.0,38.0,60.0,47.0,60.0,97.0,100.0,97.0,100.0,81.0,100.0,0.97,0.97,0.81,0.7189189189189189,0.8405797101449275,82.0
41,Miller,Stephen,stephen.miller@univ.edu,8,10,7,13,4,50.0,80.0,48.0,80.0,63.0,80.0,77.0,100.0,57.0,70.0,81.0,90.0,49.0,50.0,69.0,70.0,55.0,60.0,41.0,60.0,72.0,100.0,70.0,100.0,97.0,100.0,0.72,0.7,0.97,0.7972972972972973,0.6086956521739131,75.0
42,Duffy,Erin,erin.duffy@univ.edu,9,12,14,5,10,66.0,80.0,54.0,80.0,50.0,80.0,65.0,100.0,56.0,70.0,65.0,90.0,35.0,50.0,46.0,70.0,46.0,60.0,59.0,60.0,85.0,100.0,92.0,100.0,88.0,100.0,0.85,0.92,0.88,0.7324324324324324,0.7246376811594203,78.0
43,Rhodes,Kimberly,kimberly.rhodes@univ.edu,9,13,16,12,6,60.0,80.0,61.0,80.0,60.0,80.0,79.0,100.0,42.0,70.0,86.0,90.0,34.0,50.0,48.0,70.0,48.0,60.0,47.0,60.0,61.0,100.0,62.0,100.0,97.0,100.0,0.61,0.62,0.97,0.7635135135135135,0.8115942028985508,77.0
44,Webb,Heather,heather.webb@univ.edu,5,11,16,9,4,56.0,80.0,48.0,80.0,60.0,80.0,60.0,100.0,47.0,70.0,84.0,90.0,35.0,50.0,45.0,70.0,44.0,60.0,40.0,60.0,100.0,100.0,61.0,100.0,62.0,100.0,1.0,0.61,0.62,0.7013513513513514,0.6521739130434783,70.0
45,Lee,Michelle,michelle.lee@univ.edu,9,13,16,10,10,56.0,80.0,68.0,80.0,57.0,80.0,74.0,100.0,53.0,70.0,89.0,90.0,32.0,50.0,57.0,70.0,48.0,60.0,39.0,60.0,91.0,100.0,76.0,100.0,77.0,100.0,0.91,0.76,0.77,0.7743243243243243,0.8405797101449275,81.0
46,Graham,Benjamin,benjamin.graham@univ.edu,7,15,6,6,7,64.0,80.0,52.0,80.0,58.0,80.0,87.0,100.0,60.0,70.0,89.0,90.0,41.0,50.0,45.0,70.0,50.0,60.0,37.0,60.0,81.0,100.0,73.0,100.0,81.0,100.0,0.81,0.73,0.81,0.7878378378378378,0.5942028985507246,73.0
47,Johnson,Stacy,stacy.johnson@univ.edu,6,14,11,7,7,74.0,80.0,55.0,80.0,60.0,80.0,67.0,100.0,46.0,70.0,85.0,90.0,43.0,50.0,42.0,70.0,59.0,60.0,48.0,60.0,96.0,100.0,80.0,100.0,86.0,100.0,0.96,0.8,0.86,0.7824324324324324,0.6521739130434783,78.0
48,Anderson,Lauren,lauren.anderson@univ.edu,8,6,11,11,6,55.0,80.0,75.0,80.0,57.0,80.0,75.0,100.0,47.0,70.0,83.0,90.0,48.0,50.0,44.0,70.0,44.0,60.0,56.0,60.0,94.0,100.0,67.0,100.0,86.0,100.0,0.94,0.67,0.86,0.7891891891891892,0.6086956521739131,75.0
49,Greer,April,april.greer@univ.edu,8,11,13,13,12,61.0,80.0,62.0,80.0,67.0,80.0,65.0,100.0,58.0,70.0,68.0,90.0,30.0,50.0,46.0,70.0,60.0,60.0,36.0,60.0,74.0,100.0,71.0,100.0,94.0,100.0,0.74,0.71,0.94,0.7472972972972973,0.8260869565217391,79.0
50,Rodriguez,John,john.rodriguez@univ.edu,6,12,12,11,7,78.0,80.0,76.0,80.0,63.0,80.0,61.0,100.0,52.0,70.0,61.0,90.0,41.0,50.0,55.0,70.0,37.0,60.0,60.0,60.0,92.0,100.0,68.0,100.0,89.0,100.0,0.92,0.68,0.89,0.7891891891891892,0.6956521739130435,78.0
51,Brock,Lauren,lauren.brock@univ.edu,7,14,11,12,7,74.0,80.0,58.0,80.0,62.0,80.0,82.0,100.0,54.0,70.0,87.0,90.0,30.0,50.0,51.0,70.0,60.0,60.0,54.0,60.0,75.0,100.0,72.0,100.0,96.0,100.0,0.75,0.72,0.96,0.827027027027027,0.7391304347826086,80.0
52,Reyes,Jason,jason.reyes@univ.edu,9,13,13,6,4,67.0,80.0,66.0,80.0,65.0,80.0,68.0,100.0,57.0,70.0,70.0,90.0,34.0,50.0,64.0,70.0,57.0,60.0,44.0,60.0,70.0,100.0,81.0,100.0,86.0,100.0,0.7,0.81,0.86,0.8,0.6521739130434783,76.0
53,Gonzalez,Matthew,matthew.gonzalez@univ.edu,7,6,16,11,12,75.0,80.0,74.0,80.0,76.0,80.0,70.0,100.0,46.0,70.0,62.0,90.0,45.0,50.0,49.0,70.0,58.0,60.0,52.0,60.0,78.0,100.0,73.0,100.0,60.0,100.0,0.78,0.73,0.6,0.8202702702702702,0.7536231884057971,77.0
54,Adams,Amy,amy.adams@univ.edu,9,11,12,8,10,49.0,80.0,53.0,80.0,55.0,80.0,78.0,100.0,46.0,70.0,59.0,90.0,49.0,50.0,58.0,70.0,39.0,60.0,54.0,60.0,87.0,100.0,74.0,100.0,76.0,100.0,0.87,0.74,0.76,0.7297297297297297,0.7246376811594203,75.0
55,Warren,Angela,angela.warren@univ.edu,8,14,10,5,10,54.0,80.0,62.0,80.0,59.0,80.0,77.0,100.0,59.0,70.0,85.0,90.0,44.0,50.0,55.0,70.0,58.0,60.0,48.0,60.0,70.0,100.0,84.0,100.0,78.0,100.0,0.7,0.84,0.78,0.8121621621621622,0.6811594202898551,77.0
56,Smith,Kerry,kerry.smith@univ.edu,4,13,16,5,5,53.0,80.0,73.0,80.0,53.0,80.0,71.0,100.0,63.0,70.0,69.0,90.0,50.0,50.0,44.0,70.0,55.0,60.0,49.0,60.0,62.0,100.0,95.0,100.0,84.0,100.0,0.62,0.95,0.84,0.7837837837837838,0.6231884057971014,75.0
57,Johnston,Robert,robert.johnston@univ.edu,9,12,13,10,5,74.0,80.0,64.0,80.0,64.0,80.0,76.0,100.0,64.0,70.0,56.0,90.0,32.0,50.0,46.0,70.0,43.0,60.0,43.0,60.0,98.0,100.0,61.0,100.0,74.0,100.0,0.98,0.61,0.74,0.7594594594594595,0.7101449275362319,75.0
58,Smith,Matthew,matthew.smith@univ.edu,8,14,7,7,8,75.0,80.0,53.0,80.0,57.0,80.0,69.0,100.0,53.0,70.0,78.0,90.0,50.0,50.0,51.0,70.0,47.0,60.0,42.0,60.0,66.0,100.0,63.0,100.0,93.0,100.0,0.66,0.63,0.93,0.777027027027027,0.6376811594202898,73.0
59,Bates,Nathan,nathan.bates@univ.edu,6,12,6,11,10,68.0,80.0,67.0,80.0,69.0,80.0,72.0,100.0,61.0,70.0,80.0,90.0,33.0,50.0,64.0,70.0,55.0,60.0,55.0,60.0,71.0,100.0,76.0,100.0,82.0,100.0,0.71,0.76,0.82,0.8432432432432433,0.6521739130434783,77.0
60,Douglas,Robert,robert.douglas@univ.edu,8,9,13,10,8,57.0,80.0,53.0,80.0,73.0,80.0,78.0,100.0,42.0,70.0,83.0,90.0,41.0,50.0,69.0,70.0,44.0,60.0,39.0,60.0,86.0,100.0,67.0,100.0,87.0,100.0,0.86,0.67,0.87,0.7824324324324324,0.6956521739130435,77.0
61,Smith,Samantha,samantha.smith@univ.edu,6,7,17,5,6,48.0,80.0,61.0,80.0,49.0,80.0,70.0,100.0,61.0,70.0,87.0,90.0,36.0,50.0,59.0,70.0,53.0,60.0,44.0,60.0,69.0,100.0,100.0,100.0,74.0,100.0,0.69,1.0,0.74,0.7675675675675676,0.5942028985507246,73.0
62,Foster,Tommy,tommy.foster@univ.edu,9,9,7,10,9,49.0,80.0,63.0,80.0,51.0,80.0,83.0,100.0,64.0,70.0,86.0,90.0,32.0,50.0,56.0,70.0,51.0,60.0,38.0,60.0,78.0,100.0,88.0,100.0,65.0,100.0,0.78,0.88,0.65,0.7743243243243243,0.6376811594202898,74.0
63,White,Amy,amy.white@univ.edu,7,14,15,11,4,71.0,80.0,60.0,80.0,72.0,80.0,95.0,100.0,64.0,70.0,87.0,90.0,40.0,50.0,43.0,70.0,47.0,60.0,41.0,60.0,99.0,100.0,95.0,100.0,99.0,100.0,0.99,0.95,0.99,0.8378378378378378,0.7391304347826086,85.0
64,Joyce,Traci,traci.joyce@univ.edu,8,6,14,9,4,0.0,80.0,77.0,80.0,58.0,80.0,91.0,100.0,66.0,70.0,78.0,90.0,30.0,50.0,69.0,70.0,59.0,60.0,53.0,60.0,100.0,100.0,84.0,100.0,64.0,100.0,1.0,0.84,0.64,0.7851351351351351,0.5942028985507246,75.0
65,Patrick,Mark,mark.patrick@univ.edu,10,11,10,8,4,70.0,80.0,65.0,80.0,73.0,80.0,84.0,100.0,68.0,70.0,74.0,90.0,34.0,50.0,43.0,70.0,36.0,60.0,55.0,60.0,92.0,100.0,65.0,100.0,80.0,100.0,0.92,0.65,0.8,0.8135135135135135,0.6231884057971014,75.0
66,Anderson,Daisy,daisy.anderson@univ.edu,9,6,10,6,7,64.0,80.0,52.0,80.0,57.0,80.0,84.0,100.0,54.0,70.0,63.0,90.0,34.0,50.0,45.0,70.0,38.0,60.0,45.0,60.0,92.0,100.0,66.0,100.0,94.0,100.0,0.92,0.66,0.94,0.7243243243243244,0.5507246376811594,71.0
67,Hunt,Brett,brett.hunt@univ.edu,4,11,16,7,12,72.0,80.0,72.0,80.0,57.0,80.0,77.0,100.0,62.0,70.0,78.0,90.0,43.0,50.0,42.0,70.0,43.0,60.0,58.0,60.0,85.0,100.0,72.0,100.0,89.0,100.0,0.85,0.72,0.89,0.8162162162162162,0.7246376811594203,79.0
68,Dudley,Emily,emily.dudley@univ.edu,5,9,8,9,9,53.0,80.0,80.0,80.0,62.0,80.0,93.0,100.0,70.0,70.0,62.0,90.0,40.0,50.0,62.0,70.0,37.0,60.0,37.0,60.0,96.0,100.0,73.0,100.0,76.0,100.0,0.96,0.73,0.76,0.8054054054054054,0.5797101449275363,75.0
69,Watkins,Carol,carol.watkins@univ.edu,6,6,11,5,5,64.0,80.0,76.0,80.0,69.0,80.0,88.0,100.0,60.0,70.0,66.0,90.0,36.0,50.0,51.0,70.0,55.0,60.0,57.0,60.0,62.0,100.0,92.0,100.0,98.0,100.0,0.62,0.92,0.98,0.8405405405405405,0.4782608695652174,74.0
70,Curry,Alec,alec.curry@univ.edu,9,9,9,12,11,69.0,80.0,76.0,80.0,66.0,80.0,87.0,100.0,59.0,70.0,83.0,90.0,43.0,50.0,65.0,70.0,58.0,60.0,42.0,60.0,65.0,100.0,78.0,100.0,83.0,100.0,0.65,0.78,0.83,0.8756756756756757,0.7246376811594203,80.0
71,Johnson,Tara,tara.johnson@univ.edu,6,6,10,14,12,53.0,80.0,74.0,80.0,65.0,80.0,82.0,100.0,45.0,70.0,59.0,90.0,48.0,50.0,56.0,70.0,40.0,60.0,57.0,60.0,71.0,100.0,91.0,100.0,95.0,100.0,0.71,0.91,0.95,0.7824324324324324,0.6956521739130435,78.0
72,Wilkerson,Levi,levi.wilkerson@univ.edu,11,13,8,14,12,52.0,80.0,80.0,80.0,75.0,80.0,62.0,100.0,43.0,70.0,70.0,90.0,33.0,50.0,42.0,70.0,38.0,60.0,42.0,60.0,71.0,100.0,96.0,100.0,93.0,100.0,0.71,0.96,0.93,0.7256756756756757,0.8405797101449275,81.0
73,Williams,Kimberly,kimberly.williams@univ.edu,6,6,11,11,9,72.0,80.0,80.0,80.0,63.0,80.0,87.0,100.0,57.0,70.0,71.0,90.0,30.0,50.0,43.0,70.0,42.0,60.0,49.0,60.0,82.0,100.0,95.0,100.0,85.0,100.0,0.82,0.95,0.85,0.8027027027027027,0.6231884057971014,78.0
74,James,Margaret,margaret.james@univ.edu,8,11,9,7,11,67.0,80.0,63.0,80.0,48.0,80.0,81.0,100.0,62.0,70.0,89.0,90.0,36.0,50.0,57.0,70.0,48.0,60.0,51.0,60.0,85.0,100.0,90.0,100.0,97.0,100.0,0.85,0.9,0.97,0.8135135135135135,0.6666666666666666,80.0
75,Leon,Tammy,tammy.leon@univ.edu,4,14,17,6,4,63.0,80.0,75.0,80.0,63.0,80.0,70.0,100.0,64.0,70.0,87.0,90.0,33.0,50.0,55.0,70.0,47.0,60.0,42.0,60.0,88.0,100.0,90.0,100.0,87.0,100.0,0.88,0.9,0.87,0.8094594594594594,0.6521739130434783,79.0
76,Baldwin,Lucas,lucas.baldwin@univ.edu,7,10,9,12,11,79.0,80.0,50.0,80.0,77.0,80.0,95.0,100.0,55.0,70.0,76.0,90.0,30.0,50.0,67.0,70.0,55.0,60.0,50.0,60.0,83.0,100.0,74.0,100.0,97.0,100.0,0.83,0.74,0.97,0.8567567567567568,0.7101449275362319,81.0
